"","Coal","CommercialGeothermal","CommercialHydropower","CommercialSolar","CommercialWind","CommercialWood","ConsumptionCommercialCoal","ConsumptionCommercialDistillateFuelOil","ConsumptionCommercialKerosene","ConsumptionCommercialLiquefiedPetroleumGases","ConsumptionCommercialNaturalGas","ConsumptionElectricPowerCoal","ConsumptionElectricPowerDistillateFuelOil","ConsumptionElectricPowerNaturalGas","ConsumptionIndustrialCoal","ConsumptionIndustrialDistillateFuelOil","ConsumptionIndustrialKerosene","ConsumptionIndustrialLiquefiedPetroleumGases","ConsumptionIndustrialNaturalGas","ConsumptionIndustrialOtherPetroleumProducts","ConsumptionResidentialCoal","ConsumptionResidentialDistillateFuelOil","ConsumptionResidentialKerosene","ConsumptionResidentialLiquefiedPetroleumGases","ConsumptionResidentialNaturalGas","ConsumptionResidentialWood","ConsumptionTransportationCoal","ConsumptionTransportationDistillateFuelOil","ConsumptionTransportationLiquefiedPetroleumGases","ConsumptionTransportationNaturalGas","ElectricPowerWood","ExpenditureCommercialCoal","ExpenditureCommercialDistillateFuelOil","ExpenditureCommercialKerosene","ExpenditureCommercialLiquefiedPetroleumGases","ExpenditureCommercialNaturalGas","ExpenditureElectricPowerCoal","ExpenditureElectricPowerDistillateFuelOil","ExpenditureElectricPowerNaturalGas","ExpenditureIndustrialCoal","ExpenditureIndustrialDistillateFuelOil","ExpenditureIndustrialKerosene","ExpenditureIndustrialLiquefiedPetroleumGases","ExpenditureIndustrialNaturalGas","ExpenditureIndustrialOtherPetroleumProducts","ExpenditureResidentialCoal","ExpenditureResidentialDistillateFuelOil","ExpenditureResidentialKerosene","ExpenditureResidentialLiquefiedPetroleumGases","ExpenditureResidentialNaturalGas","ExpenditureResidentialWood","ExpenditureTransportationCoal","ExpenditureTransportationDistillateFuelOil","ExpenditureTransportationLiquefiedPetroleumGases","ExpenditureTransportationNaturalGas","IndustrialGeothermal","IndustrialHydropower","IndustrialSolar","IndustrialWind","IndustrialWood","PriceCommercialCoal","PriceCommercialDistillateFuelOil","PriceCommercialKerosene","PriceCommercialLiquefiedPetroleumGases","PriceCommercialNaturalGas","PriceElectricPowerCoal","PriceElectricPowerDistillateFuelOil","PriceElectricPowerNaturalGas","PriceIndustrialCoal","PriceIndustrialDistillateFuelOil","PriceIndustrialKerosene","PriceIndustrialLiquefiedPetroleumGases","PriceIndustrialNaturalGas","PriceIndustrialOtherPetroleumProducts","PriceTransportationCoal","PriceTransportationDistillateFuelOil","PriceTransportationLiquefiedPetroleumGases","PriceTransportationNaturalGas","RefineryCoal","RefineryDistillateFuelOil","RefineryLiquefiedPetroleumGases","RefineryNaturalGas","ResidentialGeothermal","State","Year"
"1622",0,175,0,0,0,2889,4,20231,164,13278,43126,621827,10559,204152,28485,20785,73,6067,95720,4092,1,1601,1107,10017,14177,26549,0,138018,686,3818,3145,0,101.6,1.5,140.4,193.3,1154.7,48.9,435.9,53.7,111.4,0.4,69.2,259.4,40.6,0,14.3,10.1,130.7,115.9,35.1,0,1070.2,8.3,0,0,0,0,0,90368,1.89,5.02,9.11,10.57,4.48,1.86,4.63,2.13,1.89,5.36,5.94,11.41,2.83,9.93,0,7.75,12.05,4.31,0,0,0,0,1225,"Florida",1991
"1673",0,192,0,0,0,3048,315,20336,168,13347,45884,615673,8996,205664,33382,24508,52,6144,98926,4026,69,2095,1553,10069,15813,27855,0,154368,640,4850,2571,0.6,97.8,1.4,134.1,207.7,1120.5,40.1,468.3,64.4,124.6,0.3,66.3,273.1,50,0.2,23.3,13.1,164.8,130.5,33.7,0,1220.4,7.8,0.3,0,0,0,0,96677,1.93,4.81,8.42,10.05,4.53,1.82,4.46,2.28,1.93,5.08,5.13,10.8,2.93,12.43,0,7.91,12.23,4.04,0,0,0,0,1321,"Florida",1992
"1724",0,207,0,0,0,1381,324,19114,304,12999,45224,621621,8453,190425,32511,25860,72,6950,112169,4052,71,1985,1236,9806,15320,10256,0,85171,629,4873,2792,0.6,87.8,2.1,124.3,240.3,1098.4,35.4,445.8,63.1,126.9,0.4,72,389.4,44.9,0.2,14,8.4,177.2,139.7,12.1,0,698.4,7.6,0.4,0,0,0,0,99368,1.94,4.59,6.81,9.56,5.31,1.77,4.18,2.34,1.94,4.91,4.88,10.35,3.53,11.07,0,8.2,12.12,4.05,0,0,0,0,1404,"Florida",1993
"1775",0,226,0,0,0,1322,428,14180,434,11922,45064,630388,8511,215022,32490,24446,44,6086,135888,3677,76,1612,706,8994,15634,9735,0,150452,1071,6096,3265,0.8,61.8,2.4,106.3,221.2,1120.8,33.5,463.4,60.7,115.8,0.2,49.6,419.8,47,0.2,19.4,3.9,127,138.3,11.2,0,1247.1,11.9,0.4,0,0,0,0,96973,1.87,4.36,5.48,8.91,4.91,1.78,3.94,2.15,1.87,4.74,4.72,8.15,3.11,12.78,0,8.29,11.16,3.87,0,0,0,0,1295,"Florida",1994
"1826",0,265,0,0,0,1334,28,17133,540,10145,43199,653636,10793,374454,33256,33709,42,10740,137928,3388,4,1326,1194,7653,15553,9735,0,168284,570,8176,5687,0.1,74.7,5,92.7,215.2,1167.4,43,837.3,61.8,154.7,0.2,88.8,420.4,44.5,0,9.4,11,109.3,143.2,10.9,0,1392.6,6.5,0.5,0,0,0,0,96719,1.86,4.36,9.19,9.13,4.98,1.79,3.98,2.24,1.86,4.59,4.59,8.27,3.07,13.14,0,8.28,11.43,3.61,0,0,0,0,1383,"Florida",1995
"1877",0,342,0,0,0,1386,22,12341,600,10367,46671,713903,9902,341069,31890,32878,186,11440,148623,5567,3,1240,1494,7821,18188,10110,0,166736,458,6594,9896,0,64.7,5.4,106.7,269.8,1241.5,47.7,1056.3,58,181.1,1,109.7,551.4,61,0,16.4,13.5,125.5,174.9,13,0,1513.5,5.4,0.9,0,0,0,0,100140,1.82,5.24,9.04,10.29,5.78,1.74,4.82,3.1,1.82,5.51,5.57,9.59,3.77,10.95,0,9.08,11.74,4.36,0,0,0,0,1464,"Florida",1996
"1928",0,383,0,0,0,1066,0,10391,305,10270,38831,717586,9267,353280,33749,33409,296,3696,134978,5673,0,845,1145,7748,13879,6381,0,188108,396,6234,12132,0,52.7,2.4,108.1,251.4,1237.8,41.2,1075,60.8,175.1,1.5,34.6,551.9,59.6,0,6.1,9,124,156.1,8.2,0,1671.2,4.3,1.3,0,0,0,0,99296,0,5.07,7.87,10.53,6.47,1.72,4.44,3.04,1.8,5.24,5.15,9.36,4.17,10.51,0,8.88,10.85,4.79,0,0,0,0,1565,"Florida",1997
"1979",0,509,0,0,0,931,130,8104,370,11460,39707,717359,20273,339674,31969,32092,927,3328,131000,7135,16,634,949,8645,14869,5670,0,192860,354,4315,7502,0.2,32.2,2.3,112.5,241,1182.3,68.5,938.1,57.1,134.1,3.6,28.3,485.2,56.2,0,4,5.8,130.4,159.2,6.3,0,1499.2,3.7,1.2,0,0,0,0,81806,1.78,3.98,6.15,9.82,6.07,1.65,3.38,2.76,1.78,4.18,3.92,8.51,3.77,7.87,0,7.77,10.32,4.48,0,0,0,0,1621,"Florida",1998
"2030",0,509,0,0,0,979,148,10478,347,11404,37941,686393,18964,380704,29719,37014,621,6475,142891,7727,20,586,913,8603,14433,5820,0,200695,508,7478,9718,0.3,47.1,2.1,109.2,235.7,1090.4,75.7,1131.6,50.7,175.9,2.7,57.6,552.9,70.4,0.1,4,5.6,128.5,159.9,6.6,0,1660.3,6.4,1.5,0,0,0,0,77161,1.7,4.5,6.11,9.57,6.21,1.59,3.99,2.97,1.7,4.75,4.41,8.89,3.94,9.11,0,8.27,12.66,4.36,0,0,0,0,1648,"Florida",1999
"2081",0,509,0,0,0,1048,213,15366,160,11286,53090,728147,20723,377526,32052,36253,547,7386,118750,6704,26,693,562,8514,16772,6267,0,204487,529,8323,7818,0.4,113.4,1.4,140,369.3,1142.5,136.1,1637.5,53.9,278.8,4.4,91.3,620.8,77.9,0.1,6.9,5.1,154.2,195.7,10.7,0,2218.1,8.3,2.7,0,0,0,0,73897,1.68,7.38,9.03,12.41,6.96,1.57,6.57,4.34,1.68,7.69,8.02,12.36,5.35,11.62,0,10.85,15.61,5.7,0,0,0,0,1648,"Florida",2000
"2132",0,590,0,0,0,838,1245,17670,141,9422,52490,694351,16441,389950,30141,39686,685,9029,103297,3584,154,707,517,7108,16558,4762,0,212041,1204,7462,2910,2.2,115.3,1.5,125.3,517.5,1193,92.8,1767.1,54.1,275.4,4.9,116.5,661.1,45.1,0.5,6.5,5.7,140.4,244.6,7.8,0,2172.5,19.4,4.1,0,0,0,0,73754,1.79,6.53,10.93,13.3,9.86,1.72,5.65,4.53,1.79,6.94,7.08,12.9,6.55,12.59,0,10.25,16.07,8.12,0,0,0,0,1854,"Florida",2001
"2183",0,643,0,0,0,858,212,14942,88,10199,57802,688794,21518,535170,30635,41403,9,4295,87997,4089,29,544,360,7694,15669,4834,0,213030,656,11999,7586,0.4,87.1,0.9,112,458.1,1213.5,124.9,2160.5,55.3,260.4,0.1,47.2,447.1,46.8,0.1,4.3,3.5,136.3,206.6,7.2,0,2103.5,10.2,3.1,0,0,0,0,76533,1.81,5.83,9.64,10.98,7.93,1.76,5.81,4.04,1.81,6.29,6.06,11,5.16,11.45,0,9.87,15.48,6.19,0,0,0,0,2020,"Florida",2002
"2234",0,880,0,0,0,893,167,15957,108,10416,56545,695296,18137,553485,28345,61126,56,5403,77688,3508,25,667,547,7060,16527,5088,0,225572,715,10581,11433,0.3,115.9,1.1,138.5,564,1219.3,137.1,3194.5,52.5,467.7,0.5,71.7,500.1,44.3,0.1,6.4,5.6,142.5,256.5,9,0,2543.8,12.2,5.6,0,0,0,0,85627,1.85,7.26,10.19,13.3,9.97,1.75,7.56,5.77,1.85,7.65,8.35,13.27,6.55,12.62,0,11.28,16.99,9.04,0,0,0,0,2627,"Florida",2003
"2285",0,996,0,0,0,873,0,23154,116,14177,58332,672034,14224,604037,27021,48878,212,3983,67200,2746,0,741,536,9256,16460,5215,0,248842,1031,11643,10368,0,216.3,1.1,211.4,643.7,1286.2,122.2,3802.1,59.9,484.7,2.3,59.5,522.8,41,0,8.3,5.2,201.1,282.1,10.5,0,3346,19.6,6.4,0,0,0,0,81663,0,9.34,9.66,14.91,11.04,1.91,8.59,6.29,2.22,9.92,10.73,14.94,7.94,14.93,0,13.45,19.02,9.2,0,0,0,0,2853,"Florida",2004
"2336",0,1169,0,0,0,354,7,20605,294,10195,59867,644719,13805,652071,27581,52007,14,6286,66836,3014,1,574,464,8478,16732,2207,0,267803,1310,9940,10968,0,272,4.4,175.2,766.1,1485.6,179.2,5516.1,81.8,706.4,0.2,110.9,598.5,54.4,0,9,6.9,209.2,324.9,5.9,0,4692.1,27.9,2.7,0,0,0,0,79588,2.97,13.2,14.84,17.19,12.8,2.3,12.98,8.46,2.97,13.58,14.65,17.65,9.14,18.05,0,17.52,21.32,12.47,0,0,0,0,3265,"Florida",2005
"2387",0,1247,0,0,0,329,11,21657,96,9661,52221,667544,6774,762892,28659,48068,113,7762,73663,2646,1,488,306,8131,16134,1957,0,284164,1242,12557,9944,0,328.6,1.8,184.2,704.2,1706.4,99,6394,94.9,749.4,1.8,154,812.9,57.9,0,8.5,5.6,224.6,336.9,6,0,5585.1,28.5,3.2,0,0,0,0,82596,3.31,15.18,18.32,19.07,13.48,2.56,14.61,8.38,3.31,15.59,15.66,19.84,11.3,21.87,0,19.65,22.91,13.27,0,0,0,0,3787,"Florida",2006
"2438",0,1324,0,0,0,349,12,13340,71,9949,52915,692870,7076,794434,27941,36803,13,5478,70191,2740,1,291,113,7324,15602,2164,0,265718,755,10703,9713,0,220.5,1.5,211.5,667.8,1766.2,111.6,7227.3,90.8,614.3,0.2,121.1,701.7,65.8,0,5.4,2.4,221.9,310.5,7.3,0,5506.1,18.8,3.1,0,0,0,0,80260,3.25,16.53,20.99,21.26,12.62,2.55,15.77,9.1,3.25,16.69,18.45,22.11,10.2,24.01,0,20.72,24.85,12.37,0,0,0,0,4584,"Florida",2007
"2489",0,1424,0,0,0,368,0,16613,28,9077,52508,665854,4344,820012,27306,37459,8,3616,71442,2869,0,163,80,7308,16086,2421,0,232979,1266,9990,9589,0,402,0.6,231.9,735.5,1966.8,94.5,8299.5,105.8,922.1,0.2,97.3,800.2,82.9,0,4,1.9,266.5,328.6,10.1,0,6481.2,36.7,2.1,0,0,0,0,87511,0,24.2,23.27,25.54,14.01,2.95,21.76,10.12,3.88,24.62,22.02,26.92,11.36,28.9,0,27.82,29,15.08,0,0,0,0,5464,"Florida",2008
"2540",0,1631,0,0,0,2060,0,17916,41,7967,51919,557466,6029,935701,24051,33430,19,2849,67610,1791,0,220,100,9204,15682,14587,0,205053,890,10812,10082,0,254.6,0.9,156.3,558.6,1885.2,90.2,7218,91.1,510.5,0.3,59.5,616.4,36.8,0,3.8,2.2,288.4,307,45.5,0,3696.7,20,1.5,0,0,0,0,88516,0,14.21,21.85,19.61,10.76,3.38,14.96,7.71,3.79,15.27,15.67,20.88,9.13,20.55,0,18.03,22.48,12.77,0,0,0,0,6812,"Florida",2009
"2591",0,1840,0,0,0,2034,0,16188,88,8017,55374,615698,12410,999482,21718,51555,25,2808,82997,1425,0,260,174,9040,19198,12735,0,215331,1049,23412,11081,0,291.5,2.1,184.6,573.1,2135.4,200.9,6420.6,83.4,945,0.5,66.8,637.4,37.8,0,5.3,4.2,326.8,335.3,46.9,0,4675.3,27.8,1.1,0,0,0,0,96235,0,18.01,24.28,23.03,10.35,3.47,16.19,6.42,3.84,18.33,20.72,23.79,8.13,26.53,0,21.71,26.54,17.55,0,0,0,0,7676,"Florida",2010
"2642",0,2355,0,0,0,1958,0,14530,68,6816,54342,540109,4626,1059418,12622,36455,12,4353,91708,1310,0,156,62,7010,16648,13024,0,219744,1027,13836,11451,0,351.1,1.9,172.8,596.3,1905.3,101.7,6116.6,54.4,886.8,0.3,116.1,689.5,42.2,0,4.3,1.7,285.6,297.8,57.6,0,6049.3,30.6,0.5,0,0,0,0,99723,0,24.16,27.64,25.35,10.97,3.53,21.99,5.77,4.31,24.33,25.62,26.68,7.95,32.24,0,27.53,29.79,5.48,0,0,0,0,7444,"Florida",2011
"2693",0,2080,0,6,0,1715,0,14562,18,8478,55683,470212,2351,1155145,12772,34563,4,2469,106176,1113,0,79,21,5285,14635,12156,0,214909,1293,16751,10374,0,360.9,0.5,147.3,569,1639.7,51.7,5466.1,57.9,876.3,0.1,65.1,683.1,36.5,0,2.2,0.6,224.2,263.5,59.8,0,6171.5,29.5,0.8,0,0,0,0,95599,0,24.78,29.69,17.38,10.22,3.49,21.99,4.73,4.53,25.35,27.14,26.37,6.83,32.77,0,28.72,22.85,9.65,0,0,0,0,7976,"Florida",2012
"2744",0,2080,0,17,0,1988,0,15826,11,7892,61035,490158,2578,1050503,14996,37922,1,2148,105263,3026,0,63,19,5046,15593,16787,0,225176,1721,12894,10265,0,383.8,0.3,137.5,651.9,1670.5,59.6,5254.2,66,940.6,0,56.5,662.2,94.7,0,1.8,0.6,214.7,282.8,81.6,0,6395,39.5,1.7,0,0,0,0,94846,0,24.25,29.52,17.42,10.68,3.41,23.11,5,4.4,24.8,27.04,26.28,6.65,31.31,0,28.4,22.96,9.82,0,0,0,0,7976,"Florida",2013
"2795",0,2080,0,16,0,1988,0,15431,36,7608,64063,541872,2837,1058227,16010,38155,2,1952,103593,3167,0,102,43,5114,17029,16787,0,230420,1828,3757,18449,0,344.9,1.1,142.3,712.9,1788.9,62.8,5785.1,68.7,920.6,0,56.3,651,94.2,0,2.8,1.3,237.7,316.7,79.5,0,5992.1,45.2,2.4,0,0,0,0,86102,0,22.35,29.88,18.7,11.13,3.3,22.12,5.47,4.29,24.13,26,28.82,6.74,29.75,0,26,24.72,11.19,0,0,0,0,7976,"Florida",2014
